                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.914,                 3.9891,                 4.0168,                0.00315,                0.72005,                0.01562,                0.00429,                 3.2198,                 3.3678,                 3.9809,             0.00065882,             0.00065882,             0.00065882
                      2,                 2.5541,                 3.1677,                 3.2885,                0.22199,                0.24428,                0.14089,                0.04028,                 2.5296,                  3.199,                 3.3899,              0.0011943,              0.0011943,              0.0011943
                      3,                 2.3992,                 2.7186,                 3.0741,                0.12485,                0.59489,                0.24796,                0.08091,                 2.5409,                 17.014,                 3.2873,              0.0015977,              0.0015977,              0.0015977
                      4,                 2.2855,                 2.3709,                 2.9573,                0.38202,                0.38438,                 0.2695,                0.09381,                 2.3924,                 2.4351,                 3.1021,               0.001406,               0.001406,               0.001406
                      5,                 2.1594,                  2.186,                 2.8448,                0.41407,                0.43742,                0.35142,                0.13515,                 2.1699,                  2.303,                 2.7768,               0.001406,               0.001406,               0.001406
                      6,                  2.051,                 2.0839,                 2.7479,                0.53994,                0.43674,                0.41359,                 0.1638,                 2.0907,                 2.3441,                 2.8132,               0.001208,               0.001208,               0.001208
                      7,                 1.9608,                 1.9542,                 2.6221,                 0.6943,                0.52423,                0.61351,                0.27367,                 1.9537,                 1.9019,                 2.5917,                0.00101,                0.00101,                0.00101
                      8,                 1.8699,                 1.7675,                  2.536,                0.76494,                0.50673,                0.61381,                0.29357,                 1.8472,                 1.8847,                 2.4727,               0.000812,               0.000812,               0.000812
                      9,                 1.8223,                 1.6627,                 2.4518,                0.70749,                0.60229,                0.67681,                0.33492,                 1.7577,                 1.7586,                 2.4015,               0.000614,               0.000614,               0.000614
                     10,                 1.7037,                 1.5638,                 2.3222,                 0.7221,                0.60501,                0.69551,                 0.3748,                 1.7093,                 1.6432,                 2.3266,               0.000416,               0.000416,               0.000416
